JOY,ANGER,SHAME,DISGUST,SADNESS,FEAR,GUILT
0.466667,0.350746,0.424028,0.504918,0.31202,0.426778,0.26484
0.514523,0.365517,0.435897,0.443515,0.351124,0.49635,0.361624
0.587031,0.245614,0.37788,0.448193,0.379104,0.554054,0.443243
0.582456,0.347518,0.418994,0.455224,0.435146,0.490421,0.445104
0.560886,0.335766,0.440994,0.505695,0.378641,0.563934,0.4
0.633333,0.298387,0.431138,0.524862,0.484211,0.475,0.417647
0.602151,0.361516,0.42963,0.512968,0.525373,0.612121,0.459948
0.601227,0.199052,0.424437,0.506944,0.529644,0.5919,0.427835
0.626374,0.358108,0.425197,0.534954,0.519774,0.58651,0.409894
0.616949,0.367089,0.306977,0.519417,0.528,0.587879,0.44507
0.573951,0.384146,0.349442,0.496815,0.46281,0.58642,0.40113
0.619048,0.378378,0.401515,0.49711,0.538462,0.526316,0.413374
0.664634,0.266667,0.412371,0.513889,0.523077,0.608939,0.364912
0.619718,0.369393,0.432133,0.475375,0.5,0.590062,0.403409
0.606232,0.370821,0.401575,0.527778,0.536723,0.58309,0.413115
0.620321,0.371084,0.404494,0.532663,0.447154,0.571429,0.377778
0.61413,0.359133,0.338983,0.522727,0.542751,0.573727,0.388489
0.626866,0.310954,0.408163,0.521246,0.525547,0.608434,0.365079
0.631229,0.347826,0.42471,0.530864,0.529851,0.572391,0.358566
0.631268,0.349693,0.317181,0.521951,0.50996,0.518248,0.405594
0.607792,0.379822,0.451178,0.515513,0.526718,0.576923,0.433735
0.638418,0.363636,0.375,0.522796,0.514286,0.592814,0.425249
0.606452,0.380711,0.349345,0.50237,0.530466,0.605882,0.379182
0.6,0.318182,0.405498,0.497696,0.548872,0.565789,0.407143
0.627329,0.351351,0.416961,0.522145,0.55082,0.605187,0.386617
0.606684,0.326531,0.398577,0.507042,0.541516,0.602564,0.37037
0.597333,0.363636,0.405694,0.52506,0.535593,0.596774,0.414035
0.619318,0.346505,0.420712,0.526611,0.543046,0.573427,0.363636
