JOY,ANGER,SHAME,DISGUST,SADNESS,FEAR,GUILT
0.574074,0.375,0.367647,0.522727,0.46395,0.58309,0.397516
0.647975,0.351097,0.394822,0.523256,0.507143,0.599369,0.428571
0.660194,0.35,0.404255,0.564565,0.522876,0.583072,0.342657
0.627451,0.330935,0.401434,0.546448,0.540541,0.608696,0.387692
0.632911,0.313167,0.395683,0.515971,0.521452,0.597403,0.396226
0.595611,0.34507,0.442748,0.516717,0.54,0.594595,0.411043
0.628399,0.256,0.42446,0.508287,0.545455,0.584507,0.397626
0.625407,0.316456,0.414966,0.50411,0.563758,0.579805,0.402516
0.638436,0.318841,0.3861,0.494444,0.539792,0.594937,0.431746
0.627063,0.312977,0.407273,0.508197,0.540373,0.612378,0.40273
0.632997,0.324723,0.396947,0.494318,0.538462,0.589404,0.375427
0.612378,0.299213,0.425373,0.49375,0.543046,0.589474,0.4
0.624161,0.329825,0.397112,0.511494,0.52381,0.595318,0.405063
0.646865,0.347518,0.378788,0.489297,0.551495,0.602649,0.383275
0.626582,0.312727,0.410072,0.51312,0.571429,0.594249,0.409241
0.633663,0.344828,0.409556,0.504559,0.559006,0.588629,0.394464
0.63522,0.327526,0.395604,0.508772,0.564935,0.597315,0.381625
0.644951,0.297101,0.405594,0.495413,0.554839,0.590278,0.39604
0.639241,0.305556,0.412811,0.50303,0.557047,0.582192,0.40273
0.636656,0.293706,0.407407,0.5,0.55082,0.581081,0.402685
0.634615,0.293706,0.385185,0.489164,0.550336,0.579125,0.405405
0.622951,0.307692,0.379562,0.501511,0.551495,0.579125,0.409938
0.639498,0.296029,0.381679,0.496933,0.551495,0.579125,0.405145
0.647975,0.3125,0.381944,0.5,0.535484,0.579125,0.396166
0.61875,0.30605,0.37931,0.504451,0.551495,0.579125,0.388158
0.619355,0.289562,0.372263,0.501458,0.562092,0.579125,0.392283
0.611465,0.314685,0.393103,0.494186,0.566038,0.579125,0.413559
0.61442,0.312057,0.392727,0.47929,0.574257,0.579125,0.396166
0.616352,0.286765,0.373239,0.487952,0.567657,0.579125,0.382166
0.618297,0.297578,0.386667,0.495522,0.575251,0.579125,0.385135
0.618297,0.314685,0.363636,0.506098,0.58194,0.579125,0.397306
0.618297,0.320819,0.374194,0.503067,0.56,0.579125,0.402778
0.618297,0.310345,0.381271,0.506098,0.554054,0.579125,0.401361
0.618297,0.325424,0.376238,0.510638,0.562914,0.579125,0.39375
0.618297,0.321918,0.38488,0.510638,0.56869,0.579125,0.387302
0.618297,0.3,0.388693,0.495575,0.556291,0.579125,0.392283
0.618297,0.315068,0.377104,0.492401,0.548495,0.579125,0.38835
0.618297,0.313589,0.375887,0.494186,0.541935,0.579125,0.365517
0.618297,0.310345,0.370629,0.495627,0.547231,0.579125,0.390728
0.618297,0.294118,0.381944,0.490798,0.536424,0.579125,0.390728
0.618297,0.289855,0.376307,0.509091,0.538206,0.579125,0.390728
0.618297,0.313725,0.374582,0.510511,0.538206,0.579125,0.390728
0.618297,0.323232,0.372881,0.504505,0.533333,0.579125,0.390728
0.618297,0.307692,0.372881,0.508982,0.532895,0.579125,0.390728
0.618297,0.298611,0.372881,0.505952,0.549828,0.579125,0.390728
0.618297,0.301639,0.372881,0.504451,0.533333,0.579125,0.390728
0.618297,0.328767,0.378378,0.504451,0.546667,0.579125,0.390728
0.618297,0.331034,0.38255,0.504451,0.542484,0.579125,0.390728
0.618297,0.319444,0.377104,0.502959,0.540717,0.579125,0.390728
0.618297,0.313589,0.376712,0.502959,0.54485,0.579125,0.390728
0.618297,0.307143,0.372414,0.507375,0.54485,0.579125,0.390728
0.618297,0.318021,0.379085,0.507375,0.537705,0.579125,0.390728
0.618297,0.312057,0.381944,0.507375,0.54485,0.579125,0.390728
0.618297,0.288732,0.388693,0.505952,0.548495,0.579125,0.390728
0.618297,0.304498,0.393333,0.504451,0.545455,0.579125,0.390728
0.618297,0.310231,0.391892,0.504451,0.54,0.579125,0.390728
0.618297,0.310231,0.391892,0.504451,0.536424,0.579125,0.390728
0.618297,0.310231,0.39322,0.504451,0.536424,0.579125,0.390728
0.618297,0.310231,0.394649,0.508876,0.536424,0.579125,0.390728
0.618297,0.310231,0.398671,0.507375,0.536424,0.579125,0.390728
0.618297,0.310231,0.394558,0.5,0.536424,0.579125,0.390728
0.618297,0.310231,0.395904,0.5,0.541254,0.579125,0.390728
0.618297,0.310231,0.398577,0.5,0.541254,0.579125,0.390728
0.618297,0.310231,0.395973,0.497076,0.538206,0.579125,0.390728
0.618297,0.310231,0.380328,0.497076,0.539474,0.579125,0.390728
0.618297,0.310231,0.389439,0.501458,0.539474,0.579125,0.390728
0.618297,0.310231,0.385382,0.501475,0.539474,0.579125,0.390728
0.618297,0.310231,0.386441,0.501475,0.541254,0.579125,0.390728
0.618297,0.310231,0.375839,0.501475,0.536424,0.579125,0.390728
0.618297,0.310231,0.368056,0.504399,0.537705,0.579125,0.390728
0.618297,0.310231,0.372093,0.504399,0.537705,0.579125,0.390728
0.618297,0.310231,0.366667,0.504399,0.537705,0.579125,0.390728
0.618297,0.310231,0.366667,0.502924,0.537705,0.579125,0.390728
0.618297,0.310231,0.368421,0.495822,0.523179,0.579125,0.390728
0.618297,0.310231,0.382838,0.501567,0.527331,0.579125,0.390728
0.618297,0.310231,0.377104,0.496933,0.541254,0.579125,0.390728
0.618297,0.310231,0.381271,0.496933,0.553746,0.579125,0.390728
0.618297,0.310231,0.389078,0.501529,0.552632,0.579125,0.390728
0.618297,0.310231,0.391753,0.5,0.553333,0.579125,0.390728
0.618297,0.310231,0.386667,0.490683,0.546053,0.579125,0.390728
0.618297,0.310231,0.389078,0.490683,0.532468,0.579125,0.390728
0.618297,0.310231,0.385135,0.490683,0.556291,0.579125,0.390728
0.618297,0.310231,0.383838,0.490683,0.544828,0.579125,0.390728
0.618297,0.310231,0.383838,0.490683,0.546667,0.579125,0.390728
0.618297,0.310231,0.381271,0.490683,0.537415,0.579125,0.390728
0.618297,0.310231,0.381271,0.487654,0.534247,0.579125,0.390728
0.618297,0.310231,0.386667,0.487654,0.533784,0.579125,0.390728
0.618297,0.310231,0.392027,0.487654,0.550633,0.579125,0.390728
0.618297,0.310231,0.393333,0.495298,0.541096,0.579125,0.390728
0.618297,0.310231,0.392027,0.489164,0.538721,0.579125,0.390728
0.618297,0.310231,0.381271,0.489164,0.535593,0.579125,0.390728
0.618297,0.310231,0.381271,0.487654,0.539474,0.579125,0.390728
0.618297,0.310231,0.38,0.487654,0.536424,0.579125,0.390728
0.618297,0.310231,0.378738,0.487654,0.544262,0.579125,0.390728
0.618297,0.310231,0.377483,0.487654,0.544262,0.579125,0.390728
0.618297,0.310231,0.377483,0.487654,0.544262,0.579125,0.390728
0.618297,0.310231,0.384106,0.491124,0.544262,0.579125,0.390728
0.618297,0.310231,0.38,0.487654,0.539474,0.579125,0.390728
0.618297,0.310231,0.383838,0.492308,0.539474,0.579125,0.390728
0.618297,0.310231,0.38796,0.492308,0.539474,0.579125,0.390728
0.618297,0.310231,0.38255,0.490566,0.539474,0.579125,0.390728
0.618297,0.310231,0.381579,0.484472,0.539474,0.579125,0.390728
0.618297,0.310231,0.37377,0.490798,0.539474,0.579125,0.390728
0.618297,0.310231,0.377483,0.490798,0.539474,0.579125,0.390728
0.618297,0.310231,0.372549,0.495298,0.539474,0.579125,0.390728
0.618297,0.310231,0.372549,0.5,0.539474,0.579125,0.390728
0.618297,0.310231,0.372549,0.503106,0.539474,0.579125,0.390728
0.618297,0.310231,0.382838,0.495177,0.539474,0.579125,0.390728
0.618297,0.310231,0.369128,0.495177,0.539474,0.579125,0.390728
0.618297,0.310231,0.378738,0.495177,0.539474,0.579125,0.390728
0.618297,0.310231,0.374582,0.495177,0.539474,0.579125,0.390728
0.618297,0.310231,0.385852,0.49359,0.539474,0.579125,0.390728
0.618297,0.310231,0.386885,0.492013,0.539474,0.579125,0.390728
0.618297,0.310231,0.38796,0.492013,0.539474,0.579125,0.390728
0.618297,0.310231,0.380328,0.490446,0.539474,0.579125,0.390728
0.618297,0.310231,0.377483,0.490446,0.539474,0.579125,0.390728
0.618297,0.310231,0.377483,0.488889,0.539474,0.579125,0.390728
0.618297,0.310231,0.382838,0.507645,0.539474,0.579125,0.390728
0.618297,0.310231,0.390728,0.5,0.539474,0.579125,0.390728
0.618297,0.310231,0.38835,0.496855,0.539474,0.579125,0.390728
0.618297,0.310231,0.390728,0.496855,0.539474,0.579125,0.390728
0.618297,0.310231,0.390728,0.496855,0.539474,0.579125,0.390728
0.618297,0.310231,0.38796,0.495298,0.539474,0.579125,0.390728
0.618297,0.310231,0.393333,0.495298,0.539474,0.579125,0.390728
0.618297,0.310231,0.393333,0.49375,0.539474,0.579125,0.390728
0.618297,0.310231,0.393333,0.5,0.539474,0.579125,0.390728
0.618297,0.310231,0.392027,0.496894,0.539474,0.579125,0.390728
0.618297,0.310231,0.392027,0.495356,0.539474,0.579125,0.390728
0.618297,0.310231,0.392027,0.495356,0.539474,0.579125,0.390728
0.618297,0.310231,0.38796,0.495356,0.539474,0.579125,0.390728
0.618297,0.310231,0.405229,0.495356,0.539474,0.579125,0.390728
0.618297,0.310231,0.406557,0.493827,0.539474,0.579125,0.390728
0.618297,0.310231,0.402597,0.504505,0.539474,0.579125,0.390728
0.618297,0.310231,0.397351,0.492308,0.539474,0.579125,0.390728
0.618297,0.310231,0.397394,0.492308,0.539474,0.579125,0.390728
0.618297,0.310231,0.398693,0.492308,0.539474,0.579125,0.390728
0.618297,0.310231,0.402597,0.495575,0.539474,0.579125,0.390728
0.618297,0.310231,0.401294,0.495575,0.539474,0.579125,0.390728
0.618297,0.310231,0.401294,0.495575,0.539474,0.579125,0.390728
0.618297,0.310231,0.402597,0.495575,0.539474,0.579125,0.390728
0.618297,0.310231,0.398693,0.495575,0.539474,0.579125,0.390728
0.618297,0.310231,0.398693,0.495575,0.539474,0.579125,0.390728
0.618297,0.310231,0.402597,0.495575,0.539474,0.579125,0.390728
0.618297,0.310231,0.402597,0.495575,0.539474,0.579125,0.390728
0.618297,0.310231,0.402597,0.495575,0.539474,0.579125,0.390728
0.618297,0.310231,0.407767,0.495575,0.539474,0.579125,0.390728
0.618297,0.310231,0.403974,0.495575,0.539474,0.579125,0.390728
0.618297,0.310231,0.413115,0.495575,0.539474,0.579125,0.390728
0.618297,0.310231,0.413115,0.495575,0.539474,0.579125,0.390728
